PROCESSO_ANATEL;PROTOCOLO_DATA;ACORDO_TIPO;PRESTADORA_1_CNPJ;PRESTADORA_1;PRESTADORA_1_SERV_MOD;PRESTADORA_2_CNPJ;PRESTADORA_2;PRESTADORA_2_SERV_MOD;DESPACHO_DECISORIO_SEI;DESPACHO_DECISORIO_DATA;CONCLUSAO_DATA;OBSERVACAO
53500.031672/2016-68;26/12/2016;CONTRATO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;11.960.585/0001-08;HORIZONS TELECOMUNICAÇÕES E TECNOLOGIA S/A;STFC-LOCAL/LDN/LDI;1122568;17/01/2017;20/01/2017;Classe: I. Localização: SEI. 
53508.007626/2016-78;27/12/2016;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;08.228.429/0001-42;BRASILFONE TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL;85;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.007622/2016-90;27/12/2016;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;80.111.818/0001-10;BBS OPTIONS TELECOMUNICAÇÕES LTDA;STFC-LOCAL;86;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.007623/2016-34;27/12/2016;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;11.907.637/0001-82;MAHA-TEL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;87;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.007625/2016-23;27/12/2016;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;05.684.180/0001-91;COMPANHIA ITABIRANA DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;88;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.007629/2016-10;27/12/2016;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;01.102.038/0001-38;MARCELO MOREIRA DIONÍSIO GOIÁS TELECOMUNICAÇÕES (GOIÁS TELECOM);STFC-LOCAL;89;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.007628/2016-67;27/12/2016;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;05.262.383/0001-90;NETWORK TELECOMUNICAÇÕES LTDA;STFC-LOCAL;90;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.007624/2016-89;27/12/2016;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;05.663.379/0001-33;GT GROUP INTERNATIONAL BRASIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;91;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.000078/2017-36;05/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;06.012.825/0001-02;VOITEL TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;47;02/02/2017;10/02/2017;Classe: II. Localização: SEI. 
53508.000082/2017-02;05/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL;02.677.129/0001-64;SIGNALINK INFORMÁTICA LTDA;STFC-LOCAL;126;30/03/2017;30/03/2017;Classe: I. Localização: SEI. 
53508.000080/2017-13;05/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;02.677.129/0001-64;SIGNALINK INFORMÁTICA LTDA;STFC-LOCAL;118;30/03/2017;30/03/2017;Classe: II. Localização: SEI. 
53508.000077/2017-91;05/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;07.403.266/0001-24;MUNDO TELECOMUNICAÇÕES E INFORMÁTICA LTDA;STFC-LOCAL;117;30/03/2017;30/03/2017;Classe: II. Localização: SEI. 
53508.000079/2017-81;05/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;06.012.825/0001-02;VOITEL TELECOMUNICAÇÕES LTDA;STFC-LOCAL;116;30/03/2017;30/03/2017;Classe: II. Localização: SEI. 
53508.000081/2017-50;05/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL;09.177.971/0001-86;AUE PROVEDOR DE INTERNET LTDA;STFC-LOCAL;115;30/03/2017;30/03/2017;Classe: I. Localização: SEI. 
53508.000082/2017-02;05/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;02.677.129/0001-64;SIGNALINK INFORMÁTICA LTDA;STFC-LOCAL;125;30/03/2017;30/03/2017;Classe: I. Localização: SEI. 
53508.000161/2017-13;10/01/2017;ADITIVO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;06.128.103/0001-18;VIPWAY SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;46;02/02/2017;10/02/2017;Classe: I. Localização: SEI. 
53508.000162/2017-50;10/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;79.956.793/0001-77;A. K. OKAMOTO - VISÃONET TELECOM LTDA - EPP;STFC-LOCAL;50;02/02/2017;10/02/2017;Classe: II. Localização: SEI. 
53508.000163/2017-02;10/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;06.128.103/0001-18;VIPWAY SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;52;02/02/2017;10/02/2017;Classe: I. Localização: SEI. 
53508.000164/2017-49;10/01/2017;ADITIVO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;06.128.103/0001-18;VIPWAY SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;51;02/02/2017;10/02/2017;Classe: I. Localização: SEI. 
53508.000165/2017-93;10/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;79.956.793/0001-77;A. K. OKAMOTO - VISÃONET TELECOM LTDA - EPP;STFC-LOCAL;48;02/02/2017;10/02/2017;Classe: II. Localização: SEI. 
53508.000160/2017-61;10/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;06.128.103/0001-18;VIPWAY SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;45;09/03/2017;14/03/2017;Classe: II. Localização: SEI. 
53508.000166/2017-38;10/01/2017;ADITIVO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;04.263.321/0001-30;IPÊ INFORMÁTICA LTDA - ME (SUL INTERNET);STFC-LOCAL;1163628;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.000167/2017-82;10/01/2017;ADITIVO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;07.236.167/0001-03;TRI TELECOM LTDA;STFC-LOCAL;1163769;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.000170/2017-04;10/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;04.263.321/0001-30;IPÊ INFORMÁTICA LTDA - ME (SUL INTERNET);STFC-LOCAL;1164188;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.000169/2017-71;10/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;04.263.321/0001-30;IPÊ INFORMÁTICA LTDA - ME (SUL INTERNET);STFC-LOCAL;114;30/03/2017;30/03/2017;Classe: II. Localização: SEI. 
53508.000171/2017-41;10/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;07.236.167/0001-03;TRI TELECOM LTDA;STFC-LOCAL;113;30/03/2017;30/03/2017;Classe: I. Localização: SEI. 
53504.000348/2017-49;12/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SMP;1209285;13/04/2017;24/04/2017;Classe: II. Localização: SEI. 
53500.001531/2017-00;12/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SMP;1364409;13/04/2017;24/04/2017;Classe: IV. Localização: SEI. PROCESSO 53508.000082/2017-02 ANEXADO.
53500.001533/2017-91;12/01/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SME;1370547;13/04/2017;24/04/2017;Classe: IV. Localização: SEI. 
53508.000290/2017-01;13/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;05.462.382/0001-99;A.P. OLIVEIRA & CIA INFORMÁTICA LTDA (CONECTCOR TELECOM);STFC-LOCAL;1170899;09/03/2017;14/03/2017;Classe: i. Localização: SEI. 
53508.000289/2017-79;13/01/2017;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;16.995.709/0001-04;GLOBAL TELECOM EIRELI;STFC-LOCAL;1310663;13/04/2017;24/04/2017;Classe: I. Localização: SEI. 
53508.000291/2017-48;13/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;07.403.266/0001-24;MUNDO TELECOMUNICAÇÕES E INFORMÁTICA LTDA;STFC-LOCAL;1319387;13/04/2017;24/04/2017;Classe: I. Localização: SEI. 
53508.000288/2017-24;13/01/2017;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;05.462.382/0001-99;A.P. OLIVEIRA & CIA INFORMÁTICA LTDA (CONECTCOR TELECOM);STFC-LOCAL;1302596;09/05/2017;09/05/2017;Classe: I. Localização: SEI. 
53500.001106/2017-11;16/01/2017;CONTRATO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;07.403.266/0001-24;MUNDO TELECOMUNICAÇÕES E INFORMÁTICA LTDA;STFC-LOCAL/LDN/LDI;1167182;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53500.001105/2017-68;16/01/2017;CONTRATO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;08.241.841/0001-40;WIRELESSCONECTION SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;1167181;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.000400/2017-27;17/01/2017;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;16.995.709/0001-04;GLOBAL TELECOM EIRELI;STFC-LOCAL;1171290;09/03/2017;14/03/2017;Classe: I. Localização: SEI. PROCESSO 53508.000082/2017-02 ANEXADO.
53508.000575/2017-34;26/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;08.339.512/0001-99;GRANDI SISTEMAS DE INFORMAÇÕES LTDA (GRANDI TELECOM);STFC-LOCAL;106;09/03/2017;14/03/2017;Classe: II. Localização: SEI. 
53508.000574/2017-90;26/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;08.339.512/0001-99;GRANDI SISTEMAS DE INFORMAÇÕES LTDA (GRANDI TELECOM);STFC-LDN/LDI;105;09/03/2017;14/03/2017;Classe: II. Localização: SEI. 
53508.000578/2017-78;26/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;16.995.709/0001-04;GLOBAL TELECOM EIRELI;STFC-LOCAL;104;09/03/2017;14/03/2017;Classe: II. Localização: SEI. 
53508.000582/2017-36;26/01/2017;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;08.339.512/0001-99;GRANDI SISTEMAS DE INFORMAÇÕES LTDA (GRANDI TELECOM);STFC-LOCAL;99;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.000573/2017-45;26/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;08.339.512/0001-99;GRANDI SISTEMAS DE INFORMAÇÕES LTDA (GRANDI TELECOM);STFC-LOCAL;98;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.000581/2017-91;26/01/2017;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;05.597.358/0001-67;ESPAS TELECOMUNICAÇÕES LTDA - EPP;STFC-LDN/LDI;97;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.000580/2017-47;26/01/2017;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;08.339.512/0001-99;GRANDI SISTEMAS DE INFORMAÇÕES LTDA (GRANDI TELECOM);STFC-LDN/LDI;96;09/03/2017;14/03/2017;Classe: I. Localização: SEI. 
53508.000577/2017-23;26/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;05.597.358/0001-67;ESPAS TELECOMUNICAÇÕES LTDA - EPP;STFC-LOCAL;95;09/03/2017;14/03/2017;Classe: II. Localização: SEI. 
53508.000583/2017-81;26/01/2017;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;05.597.358/0001-67;ESPAS TELECOMUNICAÇÕES LTDA - EPP;STFC-LOCAL;94;09/03/2017;22/03/2017;Classe: I. Localização: SEI. 
53508.000576/2017-89;26/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;05.597.358/0001-67;ESPAS TELECOMUNICAÇÕES LTDA - EPP;STFC-LDN/LDI;112;30/03/2017;30/03/2017;Classe: II. Localização: SEI. 
53508.000579/2017-12;26/01/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;05.462.382/0001-99;A.P. OLIVEIRA & CIA INFORMÁTICA LTDA (CONECTCOR TELECOM);STFC-LOCAL;1170542;09/03/2017;28/04/2017;Classe: II. Localização: SEI. 
53508.001174/2017-00;22/02/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;06.349.207/0001-52;CPNET COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;134;13/04/2017;18/04/2017;Classe: I. Localização: SEI. 
53508.001176/2017-91;22/02/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;06.349.207/0001-52;CPNET COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;145;13/04/2017;18/04/2017;Classe: II. Localização: SEI. 
53508.001172/2017-11;22/02/2017;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;06.349.207/0001-52;CPNET COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;133;13/04/2017;18/04/2017;Classe: I. Localização: SEI. 
53508.001177/2017-35;22/02/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;21.832.064/0001-29;ROCKTNET SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL;143;13/04/2017;18/04/2017;Classe: II. Localização: SEI. 
53508.001170/2017-13;22/02/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;11.281.004/0001-01;PORTO SEGURO TELECOMUNICAÇÕES LTDA;SMP;1274980;21/03/2017;28/04/2017;Classe: IV. Localização: SEI. 
53508.001169/2017-99;22/02/2017;ADITIVO;11.281.004/0001-01;PORTO SEGURO TELECOMUNICAÇÕES LTDA;SMP;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;1275121;21/03/2017;28/04/2017;Classe: II. Localização: SEI. 
53508.001178/2017-80;22/02/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;21.832.064/0001-29;ROCKTNET SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL;1276110;21/03/2017;28/04/2017;Classe: I. Localização: SEI. 
53508.001372/2017-65;03/03/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN/LDI;03.041.675/0001-77;SDW TECNOLOGIA E TELECOMUNICAÇÕES LTDA;STFC-LOCAL;1278269;21/03/2017;28/04/2017;Classe: I. Localização: SEI. 
53508.001375/2017-07;03/03/2017;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;07.493.196/0001-42;DIGITAL DESIGN SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL;1390079;05/05/2017;12/05/2017;Classe: I. Localização: SEI. 
53508.001362/2017-20;03/03/2017;CONTRATO;40.432.544/0001-47;CLARO S.A.;STFC-LOCAL/LDN/LDI;08.339.512/0001-99;GRANDI SISTEMAS DE INFORMAÇÕES LTDA (GRANDI TELECOM);STFC-LOCAL/LDN/LDI;180;19/05/2017;23/05/2017;Classe: I. Localização: SEI. 
53500.056743/2017-16;03/03/2017;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;08.339.512/0001-99;GRANDI SISTEMAS DE INFORMAÇÕES LTDA (GRANDI TELECOM);STFC-LOCAL/LDN/LDI;178;19/05/2017;05/06/2017;Classe: II. Localização: SEI. 
53508.001361/2017-85;03/03/2017;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;16.995.709/0001-04;GLOBAL TELECOM EIRELI;STFC-LOCAL;155;02/05/2017;22/05/2017;Classe: II. Localização: SEI. 
53508.001374/2017-54;03/03/2017;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;07.493.196/0001-42;DIGITAL DESIGN SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;STFC-LDN;163;02/05/2017;22/05/2017;Classe: I. Localização: SEI. 
53508.001373/2017-18;03/03/2017;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;07.493.196/0001-42;DIGITAL DESIGN SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL;157;02/05/2017;22/05/2017;Classe: I. Localização: SEI. 
53508.001371/2017-11;03/03/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;03.041.675/0001-77;SDW TECNOLOGIA E TELECOMUNICAÇÕES LTDA;STFC-LOCAL;156;02/05/2017;22/05/2017;Classe: I. Localização: SEI. Ofício reenviado
53508.001484/2017-16;07/03/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;11.281.004/0001-01;PORTO SEGURO TELECOMUNICAÇÕES LTDA;SMP;139;13/04/2017;18/04/2017;Classe: II. Localização: SEI. 
53508.001492/2017-62;07/03/2017;CONTRATO;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SMP;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;144;13/04/2017;18/04/2017;Classe: II. Localização: SEI. 
53508.001491/2017-18;07/03/2017;CONTRATO;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SMP;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN/LDI;138;13/04/2017;18/04/2017;Classe: II. Localização: SEI. 
53508.001494/2017-51;07/03/2017;CONTRATO;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SMP;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;1279843;21/03/2017;28/04/2017;Classe: II. Localização: SEI. 
53508.001485/2017-61;07/03/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SCM;71.208.516/0001-74;ALGAR TELECOM S/A;SCM;146;27/07/2017;27/07/2017;Classe: V.
53508.001493/2017-15;07/03/2017;CONTRATO;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SMP;76.535.764/0001-43;OI S.A.;STFC-LOCAL;290;11/09/2017;11/09/2017;Classe: II. Localização: SEI. 
53508.001495/2017-04;07/03/2017;CONTRATO;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SMP;05.423.963/0001-11;OI MÓVEL S.A.;SMP;1882488;21/09/2017;21/09/2017;Classe: IV. Localização: SEI. 
53508.001524/2017-20;08/03/2017;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;16.995.709/0001-04;GLOBAL TELECOM EIRELI;STFC-LOCAL;160;13/04/2017;18/04/2017;Classe: II. Localização: SEI. 
53508.001543/2017-56;09/03/2017;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;04.964.902/0001-07;BCMG INTERNET LTDA (BIGNET);STFC-LOCAL/LDN/LDI;165;19/05/2017;23/05/2017;Classe: ii. Localização: SEI. 
53508.001577/2017-41;10/03/2017;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;19.534.299/0001-79;NIPTELECOM TELECOMUNICAÇÕES EIRELI;STFC-LOCAL;135;13/04/2017;18/04/2017;Classe: II. Localização: SEI. 
53508.001572/2017-18;10/03/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;05.467.602/0001-77;CONNECTRONIC SERVIÇOS LTDA (CONNECTRONIC);STFC-LOCAL;1304600;13/04/2017;28/04/2017;Classe: I. Localização: SEI. 
53508.001582/2017-53;10/03/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN/LDI;19.534.299/0001-79;NIPTELECOM TELECOMUNICAÇÕES EIRELI;STFC-LOCAL;1393930;05/05/2017;08/05/2017;Classe: I. Localização: SEI. 
53508.001573/2017-62;10/03/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN/LDI;05.467.602/0001-77;CONNECTRONIC SERVIÇOS LTDA (CONNECTRONIC);STFC-LOCAL;1304601;13/04/2017;28/04/2017;Classe: I. Localização: SEI. 
53508.001578/2017-95;10/03/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;19.534.299/0001-79;NIPTELECOM TELECOMUNICAÇÕES EIRELI;STFC-LOCAL;153;02/05/2017;22/05/2017;Classe: I. Localização: SEI. 
53508.001574/2017-15;10/03/2017;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;05.467.602/0001-77;CONNECTRONIC SERVIÇOS LTDA (CONNECTRONIC);STFC-LOCAL;222;27/07/2017;27/07/2017;Classe: II.
53508.001650/2017-84;15/03/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN/LDI;09.607.157/0001-54;KLISA COMUNICAÇÕES & MULTIMÍDIA (CONECTV);STFC-LOCAL;136;13/04/2017;18/04/2017;Classe: I. Localização: SEI. 
53508.001649/2017-50;15/03/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;09.607.157/0001-54;KLISA COMUNICAÇÕES & MULTIMÍDIA (CONECTV);STFC-LOCAL;154;02/05/2017;22/05/2017;Classe: I. Localização: SEI. 
53508.001655/2017-15;15/03/2017;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;09.607.157/0001-54;KLISA COMUNICAÇÕES & MULTIMÍDIA (CONECTV);STFC-LOCAL;223;27/07/2017;27/07/2017;Classe: II.
53500.054533/2017-93;18/04/2017;CONTRATO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;07.349.982/0001-70;YIP TELECOMUNICAÇÕES LTDA (YIP TELECOM);STFC-LOCAL/LDN/LDI;185/2017;30/06/2017;13/07/2017;Classe: I.
53508.002628/2017-51;26/04/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;07.648.681/0001-48;QNET TELECOM LTDA - ME;STFC-LOCAL;1622907;13/07/2017;19/07/2017;Classe: II.
53508.002627/2017-15;26/04/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;10.501.209/0001-92;TOQUE TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL;1623748;13/07/2017;19/07/2017;Classe: II.
53508.002630/2017-21;26/04/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL;10.455.746/0001-43;EUTV CONSULTORIA E INTERMEDIAÇÃO DE NEGÓCIOS (SURF TELECOM);SMP;1624148;13/07/2017;19/07/2017;Classe: II.
53508.002629/2017-04;26/04/2017;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;10.455.746/0001-43;EUTV CONSULTORIA E INTERMEDIAÇÃO DE NEGÓCIOS (SURF TELECOM);SMP;1624402;13/07/2017;19/07/2017;Classe: IV.
53508.003036/2017-57;18/05/2017;CONTRATO;40.432.544/0001-47;CLARO S.A.;STFC-LOCAL/LDN/LDI;21.832.064/0001-29;ROCKTNET SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL/LDN/LDI;1576161;30/06/2017;30/06/2017;Classe: I.
53500.061550/2017-87;18/05/2017;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;21.832.064/0001-29;ROCKTNET SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL/LDN/LDI;1613680;14/07/2017;20/07/2017;Classe: II.
53528.001854/2017-87;19/05/2017;ADITIVO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;13.114.336/0001-27;ADYLNET ACESSO A INTERNET LTDA;STFC-LOCAL;1624188;07/07/2017;11/07/2017;Classe: II.
53508.003160/2017-12;24/05/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN/LDI;05.462.382/0001-99;A.P. OLIVEIRA & CIA INFORMÁTICA LTDA (CONECTCOR TELECOM);STFC-LOCAL;1615944;07/07/2017;11/07/2017;Classe: I.
53508.003165/2017-45;24/05/2017;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;06.089.278/0001-63;TCHETURBO PROVEDOR DE INTERNET EIRELI;STFC-LOCAL;1615945;07/07/2017;11/07/2017;Classe: I.
53508.003163/2017-56;24/05/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;05.980.171/0001-48;PREDLINK REDE DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;1619654;07/07/2017;11/07/2017;Classe: I.
53508.003156/2017-54;24/05/2017;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;08.241.841/0001-40;WIRELESSCONECTION SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;1861106;12/09/2017;18/09/2017;Classe: II.
53508.003159/2017-98;24/05/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LDN/LDI;21.832.064/0001-29;ROCKETNET SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL;1695866;27/07/2017;27/07/2017;Classe: I.
53508.003162/2017-10;24/05/2017;CONTRATO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;08.241.841/0001-40;WIRELESSCONECTION SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;1692203;27/07/2017;27/07/2017;Classe: I.
53508.003153/2017-11;24/05/2017;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;05.980.171/0001-48;PREDLINK REDE DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;1694251;27/07/2017;27/07/2017;Classe: II.
53508.003157/2017-07;24/05/2017;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;06.089.278/0001-63;TCHETURBO PROVEDOR DE INTERNET EIRELI;STFC-LOCAL;1695456;27/07/2017;27/07/2017;Classe: II.
